Actors,Comment,CountryOrRegion,Direction,Last,MovieTypes,OriginalTitle,Rank,Score,ScreenWriter,Title,Url,Votes,Year
蒂姆·罗宾斯 摩根·弗里曼 鲍勃·冈顿 威廉姆·赛德勒 克兰西·布朗 吉尔·贝罗斯 马克·罗斯顿 詹姆斯·惠特摩 杰弗里·德曼 拉里·布兰登伯格 尼尔·吉恩托利 布赖恩·利比 大卫·普罗瓦尔 约瑟夫·劳格诺 祖德·塞克利拉,希望让人自由。,美国,弗兰克·德拉邦特,142,剧情 犯罪,The Shawshank Redemption,1,9.6,弗兰克·德拉邦特 斯蒂芬·金,肖申克的救赎,https://movie.douban.com/subject/1292052/,869007,1994
莱昂纳多·迪卡普里奥 约瑟夫·高登-莱维特 艾伦·佩吉 渡边谦 汤姆·哈迪 迪利普·劳 玛丽昂·歌迪亚 基里安·墨菲 汤姆·贝伦杰 迈克尔·凯恩 卢卡斯·哈斯 皮特·波斯尔思韦特,诺兰给了我们一场无法盗取的梦。,美国   英国,克里斯托弗·诺兰,148,剧情 动作 科幻 悬疑 冒险,Inception,9,9.2,克里斯托弗·诺兰,盗梦空间,https://movie.douban.com/subject/3541415/,760037,2010
莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 Nicholas Cascone Anatoly M. Sagalevitch 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 艾恩·格拉法德 乔纳森·菲利普斯 马克·林赛·查普曼 理查德·格拉翰 Paul Brightwell 艾瑞克·布里登 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 Fannie Brett 马丁·贾维斯 Rosalind Ayres 罗切尔·罗斯 Jonathan Evans-Jones Simon Crane 爱德华德·弗莱彻 Scott Anderson Martin East 克雷格·凯利 格雷戈里·库克 Liam Tuohy James Lancaster 艾尔莎·瑞雯 Lew Palter Terry Forrestal Kevin De La Noy,失去的才是永恒的。 ,美国,詹姆斯·卡梅隆,194,剧情 爱情 灾难,Titanic,8,9.2,詹姆斯·卡梅隆,泰坦尼克号,https://movie.douban.com/subject/1292722/,651829,1997
连姆·尼森 本·金斯利 拉尔夫·费因斯 卡罗琳·古多尔 乔纳森·萨加尔 艾伯丝·戴维兹 马尔戈萨·格贝尔 马克·伊瓦涅 碧翠斯·马科拉 安德烈·瑟韦林 弗里德里希·冯·图恩 克齐斯茨托夫·拉夫特 诺伯特·魏塞尔,拯救一个人，就是拯救整个世界。,美国,史蒂文·斯皮尔伯格,195,剧情 历史 战争,Schindler's List,7,9.4,托马斯·肯尼利 斯蒂文·泽里安,辛德勒的名单,https://movie.douban.com/subject/1295124/,381211,1993
罗伯托·贝尼尼 尼可莱塔·布拉斯基 乔治·坎塔里尼 朱斯蒂诺·杜拉诺 赛尔乔·比尼·布斯特里克 玛丽萨·帕雷德斯 霍斯特·布赫霍尔茨 利迪娅·阿方西 朱利亚娜·洛约迪切 亚美利哥·丰塔尼 彼得·德·席尔瓦 弗朗西斯·古佐 拉法埃拉·莱博罗尼 克劳迪奥·阿方西 吉尔·巴罗尼 马西莫·比安奇 恩尼奥·孔萨尔维 吉安卡尔洛·科森蒂诺 阿伦·克雷格,最美的谎言。,意大利,罗伯托·贝尼尼,116,剧情 喜剧 爱情 战争,La vita è bella,5,9.5,温琴佐·切拉米 罗伯托·贝尼尼,美丽人生,https://movie.douban.com/subject/1292063/,413540,1997
柊瑠美 入野自由 夏木真理 菅原文太 内藤刚志 神木隆之介 泽口靖子 我修院达也,最好的宫崎骏，最好的久石让。 ,日本,宫崎骏,125,剧情 动画 奇幻,千と千尋の神隠し,6,9.2,宫崎骏,千与千寻,https://movie.douban.com/subject/1291561/,660358,2001
汤姆·汉克斯 罗宾·怀特 加里·西尼斯 麦凯尔泰·威廉逊 莎莉·菲尔德 Michael Conner Humphreys 海利·乔·奥斯蒙,一部美国近现代史。,美国,罗伯特·泽米吉斯,142,剧情 爱情,Forrest Gump,4,9.4,艾瑞克·罗斯 Winston Groom,阿甘正传,https://movie.douban.com/subject/1292720/,709002,1994
让·雷诺 娜塔莉·波特曼 加里·奥德曼 丹尼·爱罗 彼得·阿佩尔 迈克尔·巴达鲁科 艾伦·格里尼 伊丽莎白·瑞根 卡尔·马图斯维奇 弗兰克·赛格 麦温 乔治·马丁 罗伯特·拉萨多 亚当·布斯奇 马里奥·托迪斯科 萨米·纳塞利,怪蜀黍和小萝莉不得不说的故事。,法国,吕克·贝松,110,剧情 动作 犯罪,Léon,3,9.4,吕克·贝松,这个杀手不太冷,https://movie.douban.com/subject/1295644/,831356,1994
张国荣 张丰毅 巩俐 葛优 英达 蒋雯丽 吴大维 吕齐 雷汉 尹治 马明威 费振翔 智一桐 李春 赵海龙 李丹 童弟 沈慧芬 黄斐,风华绝代。,中国大陆   香港,陈凯歌,171,剧情 爱情 同性,,2,9.5,芦苇 李碧华,霸王别姬,https://movie.douban.com/subject/1291546/,624377,1993
刘德华 梁朝伟 黄秋生 曾志伟 郑秀文 陈慧琳 陈冠希 余文乐 杜汶泽 林家栋 萧亚轩,香港电影史上永不过时的杰作。,香港,刘伟强 麦兆辉,101,剧情 悬疑 犯罪,無間道,25,9.0,麦兆辉 庄文强,无间道,https://movie.douban.com/subject/1307914/,397245,2002
