comment,director,last,movietype,orgintitle,rank,region,score,title,url,year
满满温情的高雅喜剧。,奥利维埃·纳卡什,,剧情 喜剧,Intouchables,21,,9.1,触不可及,https://movie.douban.com/subject/6786002/,2011
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷,,剧情 爱情,"Nuovo,Cinema,Paradiso",20,,9.1,天堂电影院,https://movie.douban.com/subject/1291828/,1988
香港电影史上永不过时的杰作。,刘伟强,,剧情 悬疑 犯罪,無間道,25,,9.0,无间道,https://movie.douban.com/subject/1307914/,2002
一部美国近现代史。,罗伯特·泽米吉斯,,剧情 爱情,"Forrest,Gump",4,,9.4,阿甘正传,https://movie.douban.com/subject/1292720/,1994
平民励志片。 ,加布里埃莱·穆奇诺,,剧情 家庭 传记,"The,Pursuit,of,Happyness",22,,8.9,当幸福来敲门,https://movie.douban.com/subject/1849031/,2006
风华绝代。,陈凯歌,,剧情 爱情 同性,,2,,9.5,霸王别姬,https://movie.douban.com/subject/1291546/,1993
怪蜀黍和小萝莉不得不说的故事。,吕克·贝松,,剧情 动作 犯罪,Léon,3,,9.4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,1994
希望让人自由。,弗兰克·德拉邦特,,剧情 犯罪,"The,Shawshank,Redemption",1,,9.6,肖申克的救赎,https://movie.douban.com/subject/1292052/,1994
Tomorrow is another day.,维克多·弗莱明,,剧情 爱情 历史 战争,"Gone,with,the,Wind",19,,9.2,乱世佳人,https://movie.douban.com/subject/1300267/,1939
天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂,,剧情 音乐,"Les,choristes",14,,9.2,放牛班的春天,https://movie.douban.com/subject/1291549/,2004
人人心中都有个龙猫，童年就永远不会消失。,宫崎骏,,动画 奇幻,となりのトトロ,16,,9.1,龙猫,https://movie.douban.com/subject/1291560/,1988
永远都不能忘记你所爱的人。,拉斯·霍尔斯道姆,,剧情,"Hachi:,A,Dog's,Tale",13,,9.2,忠犬八公的故事,https://movie.douban.com/subject/3011091/,2009
英俊版憨豆，高情商版谢耳朵。,拉吉库马尔·希拉尼,,剧情 喜剧 爱情 歌舞,"3,Idiots",12,,9.1,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2009
千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉,,剧情 犯罪,"The,Godfather",17,,9.2,教父,https://movie.douban.com/subject/1291841/,1972
一生所爱。,刘镇伟,,喜剧 动作 爱情 奇幻 冒险,西遊記大結局之仙履奇緣,15,,9.2,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,1995
如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔,,剧情 科幻,"The,Truman,Show",18,,9.1,楚门的世界,https://movie.douban.com/subject/1292064/,1998
暗恋的极致。,岩井俊二,,剧情 爱情,"Love,Letter",50,,8.8,情书,https://movie.douban.com/subject/1292220/,1995
爱是一切逻辑和原由。,朗·霍华德,,剧情 传记,"A,Beautiful,Mind",46,,8.9,美丽心灵,https://movie.douban.com/subject/1306029/,2001
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔,,剧情,"Dead,Poets,Society",49,,8.9,死亡诗社,https://movie.douban.com/subject/1291548/,1989
一张面具背后的理想与革命。,詹姆斯·麦克特格,,剧情 动作 科幻 惊悚,"V,for,Vendetta",43,,8.8,V字仇杀队,https://movie.douban.com/subject/1309046/,2005
优雅的孤独。,弗朗西斯·福特·科波拉,,剧情 犯罪,"The,Godfather:,Part,Ⅱ",45,,9.1,教父2,https://movie.douban.com/subject/1299131/,1974
传说的开始。,彼得·杰克逊,,剧情 动作 奇幻 冒险,"The,Lord,of,the,Rings:,The,Fellowship,of,the,Ring",48,,8.9,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,2001
承前启后的史诗篇章。,彼得·杰克逊,,剧情 动作 奇幻 冒险,"The,Lord,of,the,Rings:,The,Two,Towers",47,,8.9,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,2002
带着心爱的人在天空飞翔。,宫崎骏,,爱情 动画 奇幻 冒险,ハウルの動く城,44,,8.9,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,2004
自由万岁。,米洛斯·福尔曼,,剧情,"One,Flew,Over,the,Cuckoo's,Nest",40,,9.0,飞越疯人院,https://movie.douban.com/subject/1292224/,1975
别样人生。,弗洛里安·亨克尔·冯·多纳斯马尔克,,剧情 悬疑,"Das,Leben,der,Anderen",39,,9.1,窃听风暴,https://movie.douban.com/subject/1900841/,2006
海豚的微笑，是世界上最高明的伪装。,路易·西霍尤斯,,纪录片,"The,Cove",41,,9.3,海豚湾,https://movie.douban.com/subject/3442220/,2009
史上最美的探戈。,马丁·布莱斯,,剧情,"Scent,of,a,Woman",42,,8.9,闻香识女人,https://movie.douban.com/subject/1298624/,1992
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,盖·里奇,,剧情 喜剧 犯罪,"Lock,,Stock,and,Two,Smoking,Barrels",37,,9.0,两杆大烟枪,https://movie.douban.com/subject/1293350/,1998
最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特,,剧情 喜剧 动画 冒险,Up,38,,8.9,飞屋环游记,https://movie.douban.com/subject/2129039/,2009
旷古烁今。,刘镇伟,,喜剧 动作 爱情 奇幻 冒险 古装,西遊記第壹佰零壹回之月光寶盒,35,,8.9,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,1995
张艺谋最好的电影。,张艺谋,,剧情 家庭,,36,,9.1,活着,https://movie.douban.com/subject/1292365/,1994
对敌人的仁慈，就是对自己残忍。,姜文,,剧情 战争,,33,,9.2,鬼子来了,https://movie.douban.com/subject/1291858/,2000
对天空的追逐，永不停止。 ,宫崎骏,,动画 奇幻 冒险,天空の城ラピュタ,31,,9.0,天空之城,https://movie.douban.com/subject/1291583/,1986
爱情哪怕只有一天。,威廉·惠勒,,剧情 喜剧 爱情,"Roman,Holiday",32,,8.9,罗马假日,https://movie.douban.com/subject/1293839/,1953
1957年的理想主义。 ,西德尼·吕美特,,剧情,"12,Angry,Men",26,,9.4,十二怒汉,https://movie.douban.com/subject/1293182/,1957
真正的幸福是来自内心深处。,罗伯·莱纳,,剧情 喜剧 爱情,Flipped,27,,8.9,怦然心动,https://movie.douban.com/subject/3319755/,2010
爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰,,剧情 科幻 冒险,Interstellar,29,,9.1,星际穿越,https://movie.douban.com/subject/1889243/,2014
史诗的终章。,彼得·杰克逊,,剧情 动作 奇幻 冒险,"The,Lord,of,the,Rings:,The,Return,of,the,King",28,,9.1,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2003
小瓦力，大人生。,安德鲁·斯坦顿,,喜剧 爱情 科幻 动画 冒险,WALL·E,10,,9.3,机器人总动员,https://movie.douban.com/subject/2131459/,2008
无尽的黑暗。,克里斯托弗·诺兰,,剧情 动作 科幻 惊悚 犯罪,"The,Dark,Knight",34,,9.0,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,2008
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷,,剧情 音乐,"La,leggenda,del,pianista,sull'oceano",11,,9.2,海上钢琴师,https://movie.douban.com/subject/1292001/,1998
瑰丽壮观、无人能及的冒险之旅。,李安,,剧情 奇幻 冒险,"Life,of,Pi",30,,9.0,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,2012
诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰,,剧情 动作 科幻 悬疑 冒险,Inception,9,,9.2,盗梦空间,https://movie.douban.com/subject/3541415/,2010
拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格,,剧情 历史 战争,"Schindler's,List",7,,9.4,辛德勒的名单,https://movie.douban.com/subject/1295124/,1993
最美的谎言。,罗伯托·贝尼尼,,剧情 喜剧 爱情 战争,"La,vita,è,bella",5,,9.5,美丽人生,https://movie.douban.com/subject/1292063/,1997
失去的才是永恒的。 ,詹姆斯·卡梅隆,,剧情 爱情 灾难,Titanic,8,,9.2,泰坦尼克号,https://movie.douban.com/subject/1292722/,1997
最好的宫崎骏，最好的久石让。 ,宫崎骏,,剧情 动画 奇幻,千と千尋の神隠し,6,,9.2,千与千寻,https://movie.douban.com/subject/1291561/,2001
你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特,,剧情 爱情 动画,"Mary,and,Max",75,,8.9,玛丽和马克思,https://movie.douban.com/subject/3072124/,2009
人的命运被自己瞬间的抉择改变。,埃里克·布雷斯,,剧情 科幻 悬疑 惊悚,"The,Butterfly,Effect",72,,8.7,蝴蝶效应,https://movie.douban.com/subject/1292343/,2004
美丽无罪。,朱塞佩·托纳多雷,,剧情 情色 战争,Malèna,74,,8.7,西西里的美丽传说,https://movie.douban.com/subject/1292402/,2000
电影的现实意义大过电影本身。,杨宇硕,,剧情,변호인,56,,9.1,辩护人,https://movie.douban.com/subject/21937445/,2013
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益,,剧情 家庭,소원,70,,9.1,素媛,https://movie.douban.com/subject/21937452/,2013
美利坚精神输出大片No1.,史蒂文·斯皮尔伯格,,剧情 历史 战争,"Saving,Private,Ryan",71,,8.8,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,1998
安东尼·霍普金斯的顶级表演。,乔纳森·戴米,,剧情 惊悚 犯罪,"The,Silence,of,the,Lambs",68,,8.7,沉默的羔羊,https://movie.douban.com/subject/1293544/,1991
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德,,喜剧 动画 冒险,Zootopia,73,,9.2,疯狂动物城,https://movie.douban.com/subject/25662329/,2016
视觉革命。,莉莉·沃卓斯基,,动作 科幻,"The,Matrix",69,,8.8,黑客帝国,https://movie.douban.com/subject/1291843/,1999
大时代中的人生，小人物的悲喜。,查理·卓别林,,剧情 喜剧 爱情,"Modern,Times",100,,9.2,摩登时代,https://movie.douban.com/subject/1294371/,1936
绝对意义上的美轮美奂。,詹姆斯·卡梅隆,,动作 科幻 奇幻 冒险,Avatar,99,,8.6,阿凡达,https://movie.douban.com/subject/1652587/,2009
在时间之河里感受溺水之苦。,大卫·芬奇,,剧情 爱情 奇幻,"The,Curious,Case,of,Benjamin,Button",67,,8.7,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,2008
约翰尼·德普的独角戏。,戈尔·维宾斯基,,动作 奇幻 冒险,"Pirates,of,the,Caribbean:,The,Curse,of,the,Black,Pearl",94,,8.6,加勒比海盗,https://movie.douban.com/subject/1298070/,2003
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇,,剧情 传记 历史,"The,Last,Emperor",98,,8.9,末代皇帝,https://movie.douban.com/subject/1293172/,1987
缘分是个连绵词，最美不过一瞬。,理查德·林克莱特,,剧情 爱情,"Before,Sunrise",97,,8.7,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,1995
每个人心中都有一座断背山。,李安,,剧情 爱情 同性 家庭,"Brokeback,Mountain",96,,8.6,断背山,https://movie.douban.com/subject/1418834/,2005
小清新的故事里注入了大历史的情怀。,韦斯·安德森,,剧情 喜剧,"The,Grand,Budapest,Hotel",95,,8.7,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,2014
我们都曾经是一一。,杨德昌,,剧情 爱情 家庭,,91,,8.9,一一,https://movie.douban.com/subject/1292434/,2000
最不可能的那个人永远是最可能的。,詹姆斯·曼高德,,剧情 悬疑 惊悚,Identity,90,,8.6,致命ID,https://movie.douban.com/subject/1297192/,2003
没有一人完全善，也没有一人完全恶。,中岛哲也,,剧情 惊悚,,92,,8.7,告白,https://movie.douban.com/subject/4268598/,2010
人言可畏。,托马斯·温特伯格,,剧情,Jagten,93,,9.0,狩猎,https://movie.douban.com/subject/6985810/,2012
相逢只要一瞬间，等待却像是一辈子。,陈可辛,,剧情 爱情,,88,,8.7,甜蜜蜜,https://movie.douban.com/subject/1305164/,1996
昔日翩翩少年，今日大腹便便。,马丁·斯科塞斯,,剧情 悬疑 惊悚,"Shutter,Island",87,,8.6,禁闭岛,https://movie.douban.com/subject/2334904/,2010
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,姜炯哲,,剧情 喜剧,써니,89,,8.8,阳光姐妹淘,https://movie.douban.com/subject/4917726/,2011
被上帝抛弃了的上帝之城。,卡迪亚·兰德,,剧情 犯罪,"Cidade,de,Deus",86,,8.9,上帝之城,https://movie.douban.com/subject/1292208/,2002
百看不厌。 ,刘镇伟,,喜剧 古装,射鵰英雄傳之東成西就,85,,8.7,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,1993
寂寞没有期限。,王家卫,,剧情 爱情,重慶森林,84,,8.6,重庆森林,https://movie.douban.com/subject/1291999/,1994
深入内心的恐怖，出人意料的结局。,M·奈特·沙马兰,,剧情 悬疑 恐怖,"The,Sixth,Sense",80,,8.8,第六感,https://movie.douban.com/subject/1297630/,1999
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,蒂姆·波顿,,剧情 家庭 奇幻 冒险,"Big,Fish",83,,8.7,大鱼,https://movie.douban.com/subject/1291545/,2003
一场华丽的意淫。,姜文,,剧情,,81,,8.7,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,1994
爱情纠缠，男女一致。,王家卫,,剧情 爱情 同性,春光乍洩,77,,8.8,春光乍泄,https://movie.douban.com/subject/1292679/,1997
人与自然的战争史诗。,宫崎骏,,动作 爱情 动画 战争 奇幻 冒险,もののけ姫,78,,8.8,幽灵公主,https://movie.douban.com/subject/1297359/,1997
经典之作，历久弥新。,万籁鸣,,动画 奇幻,,82,,9.2,大闹天宫,https://movie.douban.com/subject/1418019/,1961
你给我翻译翻译，神马叫做TMD的惊喜。,姜文,,剧情 喜剧 动作 西部,,79,,8.7,让子弹飞,https://movie.douban.com/subject/3742360/,2010
人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特,,剧情,"Good,Will,Hunting",76,,8.7,心灵捕手,https://movie.douban.com/subject/1292656/,1997
故事的高级讲法。,昆汀·塔伦蒂诺,,剧情 喜剧 犯罪,"Pulp,Fiction",65,,8.7,低俗小说,https://movie.douban.com/subject/1291832/,1994
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎,,剧情,おくりびと,66,,8.8,入殓师,https://movie.douban.com/subject/2149806/,2008
史诗大片的典范。,梅尔·吉布森,,剧情 动作 传记 历史 战争,Braveheart,61,,8.8,勇敢的心,https://movie.douban.com/subject/1294639/,1995
孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰,,剧情 悬疑 惊悚,"The,Prestige",60,,8.8,致命魔术,https://movie.douban.com/subject/1780330/,2006
奔跑的孩子是天使。,马基德·马基迪,,剧情 家庭 儿童,"بچههای,آسمان",62,,9.2,小鞋子,https://movie.douban.com/subject/1303021/,1997
以戏谑来戏谑戏谑。,中岛哲也,,剧情 歌舞,嫌われ松子の一生,59,,8.9,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,2006
